,DATA,REGIÃO,ESTADO,VALOR REVENDA,ANO,MES,MES/ANO
157,2004-06-13,SUDESTE,RIO DE JANEIRO,2.085,2004,6,06/2004
158,2004-06-13,SUDESTE,SAO PAULO,1.958,2004,6,06/2004
159,2004-06-13,SUL,PARANA,2.06,2004,6,06/2004
160,2004-06-13,SUL,RIO GRANDE DO SUL,2.2230000000000003,2004,6,06/2004
161,2004-06-13,SUL,SANTA CATARINA,2.123,2004,6,06/2004
162,2004-06-20,CENTRO OESTE,DISTRITO FEDERAL,2.096,2004,6,06/2004
163,2004-06-20,CENTRO OESTE,GOIAS,2.113,2004,6,06/2004
164,2004-06-20,CENTRO OESTE,MATO GROSSO,2.496,2004,6,06/2004
165,2004-06-20,CENTRO OESTE,MATO GROSSO DO SUL,2.25,2004,6,06/2004
166,2004-06-20,NORDESTE,ALAGOAS,2.2230000000000003,2004,6,06/2004
167,2004-06-20,NORDESTE,BAHIA,2.209,2004,6,06/2004
168,2004-06-20,NORDESTE,CEARA,2.281,2004,6,06/2004
169,2004-06-20,NORDESTE,MARANHAO,2.196,2004,6,06/2004
170,2004-06-20,NORDESTE,PARAIBA,2.1,2004,6,06/2004
171,2004-06-20,NORDESTE,PERNAMBUCO,2.1180000000000003,2004,6,06/2004
172,2004-06-20,NORDESTE,PIAUI,2.212,2004,6,06/2004
173,2004-06-20,NORDESTE,RIO GRANDE DO NORTE,2.151,2004,6,06/2004
174,2004-06-20,NORDESTE,SERGIPE,2.1,2004,6,06/2004
175,2004-06-20,NORTE,ACRE,2.482,2004,6,06/2004
176,2004-06-20,NORTE,AMAPA,2.395,2004,6,06/2004
177,2004-06-20,NORTE,AMAZONAS,2.187,2004,6,06/2004
178,2004-06-20,NORTE,PARA,2.443,2004,6,06/2004
179,2004-06-20,NORTE,RONDONIA,2.46,2004,6,06/2004
180,2004-06-20,NORTE,RORAIMA,2.076,2004,6,06/2004
181,2004-06-20,NORTE,TOCANTINS,2.194,2004,6,06/2004
182,2004-06-20,SUDESTE,ESPIRITO SANTO,2.176,2004,6,06/2004
183,2004-06-20,SUDESTE,MINAS GERAIS,2.104,2004,6,06/2004
184,2004-06-20,SUDESTE,RIO DE JANEIRO,2.152,2004,6,06/2004
185,2004-06-20,SUDESTE,SAO PAULO,2.036,2004,6,06/2004
186,2004-06-20,SUL,PARANA,2.123,2004,6,06/2004
187,2004-06-20,SUL,RIO GRANDE DO SUL,2.316,2004,6,06/2004
188,2004-06-20,SUL,SANTA CATARINA,2.195,2004,6,06/2004
189,2004-06-27,CENTRO OESTE,DISTRITO FEDERAL,2.093,2004,6,06/2004
190,2004-06-27,CENTRO OESTE,GOIAS,2.093,2004,6,06/2004
191,2004-06-27,CENTRO OESTE,MATO GROSSO,2.508,2004,6,06/2004
192,2004-06-27,CENTRO OESTE,MATO GROSSO DO SUL,2.257,2004,6,06/2004
193,2004-06-27,NORDESTE,ALAGOAS,2.216,2004,6,06/2004
194,2004-06-27,NORDESTE,BAHIA,2.212,2004,6,06/2004
195,2004-06-27,NORDESTE,CEARA,2.28,2004,6,06/2004
196,2004-06-27,NORDESTE,MARANHAO,2.194,2004,6,06/2004
197,2004-06-27,NORDESTE,PARAIBA,2.097,2004,6,06/2004
198,2004-06-27,NORDESTE,PERNAMBUCO,2.099,2004,6,06/2004
199,2004-06-27,NORDESTE,PIAUI,2.213,2004,6,06/2004
200,2004-06-27,NORDESTE,RIO GRANDE DO NORTE,2.139,2004,6,06/2004
201,2004-06-27,NORDESTE,SERGIPE,2.097,2004,6,06/2004
202,2004-06-27,NORTE,ACRE,2.51,2004,6,06/2004
203,2004-06-27,NORTE,AMAPA,2.4130000000000003,2004,6,06/2004
204,2004-06-27,NORTE,AMAZONAS,2.188,2004,6,06/2004
205,2004-06-27,NORTE,PARA,2.441,2004,6,06/2004
206,2004-06-27,NORTE,RONDONIA,2.445,2004,6,06/2004
207,2004-06-27,NORTE,RORAIMA,2.076,2004,6,06/2004
208,2004-06-27,NORTE,TOCANTINS,2.216,2004,6,06/2004
209,2004-06-27,SUDESTE,ESPIRITO SANTO,2.155,2004,6,06/2004
210,2004-06-27,SUDESTE,MINAS GERAIS,2.102,2004,6,06/2004
211,2004-06-27,SUDESTE,RIO DE JANEIRO,2.151,2004,6,06/2004
212,2004-06-27,SUDESTE,SAO PAULO,2.033,2004,6,06/2004
213,2004-06-27,SUL,PARANA,2.109,2004,6,06/2004
214,2004-06-27,SUL,RIO GRANDE DO SUL,2.289,2004,6,06/2004
215,2004-06-27,SUL,SANTA CATARINA,2.191,2004,6,06/2004
216,2004-07-04,CENTRO OESTE,DISTRITO FEDERAL,2.082,2004,7,07/2004
217,2004-07-04,CENTRO OESTE,GOIAS,2.085,2004,7,07/2004
218,2004-07-04,CENTRO OESTE,MATO GROSSO,2.515,2004,7,07/2004
219,2004-07-04,CENTRO OESTE,MATO GROSSO DO SUL,2.263,2004,7,07/2004
220,2004-07-04,NORDESTE,ALAGOAS,2.213,2004,7,07/2004
221,2004-07-04,NORDESTE,BAHIA,2.21,2004,7,07/2004
222,2004-07-04,NORDESTE,CEARA,2.276,2004,7,07/2004
223,2004-07-04,NORDESTE,MARANHAO,2.193,2004,7,07/2004
224,2004-07-04,NORDESTE,PARAIBA,2.092,2004,7,07/2004
225,2004-07-04,NORDESTE,PERNAMBUCO,2.092,2004,7,07/2004
226,2004-07-04,NORDESTE,PIAUI,2.211,2004,7,07/2004
227,2004-07-04,NORDESTE,RIO GRANDE DO NORTE,2.129,2004,7,07/2004
228,2004-07-04,NORDESTE,SERGIPE,2.1,2004,7,07/2004
229,2004-07-04,NORTE,ACRE,2.522,2004,7,07/2004
230,2004-07-04,NORTE,AMAPA,2.412,2004,7,07/2004
231,2004-07-04,NORTE,AMAZONAS,2.193,2004,7,07/2004
232,2004-07-04,NORTE,PARA,2.4330000000000003,2004,7,07/2004
233,2004-07-04,NORTE,RONDONIA,2.4530000000000003,2004,7,07/2004
234,2004-07-04,NORTE,RORAIMA,2.112,2004,7,07/2004
235,2004-07-04,NORTE,TOCANTINS,2.215,2004,7,07/2004
236,2004-07-04,SUDESTE,ESPIRITO SANTO,2.153,2004,7,07/2004
237,2004-07-04,SUDESTE,MINAS GERAIS,2.104,2004,7,07/2004
238,2004-07-04,SUDESTE,RIO DE JANEIRO,2.152,2004,7,07/2004
239,2004-07-04,SUDESTE,SAO PAULO,2.032,2004,7,07/2004
240,2004-07-04,SUL,PARANA,2.104,2004,7,07/2004
241,2004-07-04,SUL,RIO GRANDE DO SUL,2.281,2004,7,07/2004
242,2004-07-04,SUL,SANTA CATARINA,2.188,2004,7,07/2004
243,2004-07-11,CENTRO OESTE,DISTRITO FEDERAL,1.981,2004,7,07/2004
244,2004-07-11,CENTRO OESTE,GOIAS,2.074,2004,7,07/2004
245,2004-07-11,CENTRO OESTE,MATO GROSSO,2.509,2004,7,07/2004
246,2004-07-11,CENTRO OESTE,MATO GROSSO DO SUL,2.269,2004,7,07/2004
247,2004-07-11,NORDESTE,ALAGOAS,2.21,2004,7,07/2004
248,2004-07-11,NORDESTE,BAHIA,2.214,2004,7,07/2004
249,2004-07-11,NORDESTE,CEARA,2.264,2004,7,07/2004
250,2004-07-11,NORDESTE,MARANHAO,2.187,2004,7,07/2004
251,2004-07-11,NORDESTE,PARAIBA,2.099,2004,7,07/2004
252,2004-07-11,NORDESTE,PERNAMBUCO,2.123,2004,7,07/2004
253,2004-07-11,NORDESTE,PIAUI,2.206,2004,7,07/2004
254,2004-07-11,NORDESTE,RIO GRANDE DO NORTE,2.112,2004,7,07/2004
255,2004-07-11,NORDESTE,SERGIPE,2.105,2004,7,07/2004
256,2004-07-11,NORTE,ACRE,2.516,2004,7,07/2004
257,2004-07-11,NORTE,AMAPA,2.412,2004,7,07/2004
258,2004-07-11,NORTE,AMAZONAS,2.194,2004,7,07/2004
259,2004-07-11,NORTE,PARA,2.419,2004,7,07/2004
260,2004-07-11,NORTE,RONDONIA,2.459,2004,7,07/2004
261,2004-07-11,NORTE,RORAIMA,2.088,2004,7,07/2004
262,2004-07-11,NORTE,TOCANTINS,2.213,2004,7,07/2004
263,2004-07-11,SUDESTE,ESPIRITO SANTO,2.147,2004,7,07/2004
264,2004-07-11,SUDESTE,MINAS GERAIS,2.103,2004,7,07/2004
265,2004-07-11,SUDESTE,RIO DE JANEIRO,2.15,2004,7,07/2004
266,2004-07-11,SUDESTE,SAO PAULO,2.03,2004,7,07/2004
267,2004-07-11,SUL,PARANA,2.096,2004,7,07/2004
268,2004-07-11,SUL,RIO GRANDE DO SUL,2.279,2004,7,07/2004
269,2004-07-11,SUL,SANTA CATARINA,2.187,2004,7,07/2004
270,2004-07-18,CENTRO OESTE,DISTRITO FEDERAL,1.936,2004,7,07/2004
271,2004-07-18,CENTRO OESTE,GOIAS,2.097,2004,7,07/2004
272,2004-07-18,CENTRO OESTE,MATO GROSSO,2.511,2004,7,07/2004
273,2004-07-18,CENTRO OESTE,MATO GROSSO DO SUL,2.268,2004,7,07/2004
274,2004-07-18,NORDESTE,ALAGOAS,2.206,2004,7,07/2004
275,2004-07-18,NORDESTE,BAHIA,2.211,2004,7,07/2004
276,2004-07-18,NORDESTE,CEARA,2.251,2004,7,07/2004
277,2004-07-18,NORDESTE,MARANHAO,2.187,2004,7,07/2004
278,2004-07-18,NORDESTE,PARAIBA,2.077,2004,7,07/2004
279,2004-07-18,NORDESTE,PERNAMBUCO,2.0980000000000003,2004,7,07/2004
280,2004-07-18,NORDESTE,PIAUI,2.206,2004,7,07/2004
281,2004-07-18,NORDESTE,RIO GRANDE DO NORTE,2.099,2004,7,07/2004
282,2004-07-18,NORDESTE,SERGIPE,2.103,2004,7,07/2004
